5,	8.120000,	0.000000,	0.000000,	0.000000,	0.000000
10,	18.270000,	0.000000,	0.000000,	0.580000,	0.000000
15,	28.420000,	0.000000,	0.000000,	3.950000,	0.000000
20,	38.570000,	0.000000,	0.000000,	10.440000,	0.000000
25,	48.720000,	0.000000,	0.000000,	20.230000,	0.000000
30,	58.870000,	0.000000,	0.000000,	32.380000,	0.000000
35,	69.020000,	0.000000,	0.000000,	46.120000,	0.000000
40,	79.170000,	0.000000,	0.000000,	62.520000,	0.000000
45,	89.320000,	0.000000,	0.000000,	80.610000,	0.000000
50,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
55,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
60,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
65,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
70,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
75,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
80,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
85,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
90,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
95,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
100,	100.000000,	100.000000,	100.000000,	100.000000,	100.000000
